title,my_score,weight,replayed,release_year,notes
Assassin's Creed IV: Black Flag,10,5,1,,
Assassin's Creed: Rogue,6,5,1,,
Borderlands,8,5,1,,
Borderlands 2,10,5,1,,
Borderlands: The Pre-Sequel,10,5,1,,
Borderlands 3,8,5,1,,
Tales from the Borderlands,8,5,1,,
Metal Gear Solid,8,5,0,,
Metal Gear Solid 2: Sons of Liberty,7,5,0,,
Metal Gear Solid 3: Snake Eater,9,5,0,,
Metal Gear Solid 4: Guns of the Patriots,8,5,0,,
Pikmin,7,3,1,,
Pikmin 2,7,3,1,,
Pikmin 3,8,5,1,,
Pikmin 4,8,4,0,,
Batman: Arkham Asylum,8,5,0,,
Batman: Arkham City,9,5,0,,
Batman: Arkham Origins,8,5,0,,
Batman: Arkham Knight,7,5,0,,
BioShock,8,5,1,,
BioShock 2,8,5,1,,
BioShock Infinite,7,5,1,,
Brothers: A Tale of Two Sons,10,5,1,,
Chrono Trigger,10,5,1,,
Chrono Cross,10,5,1,,
Dave the Diver,10,5,0,,
Guacamelee!,10,5,1,,
Guacamelee! 2,10,5,1,,
Indiana Jones and the Great Circle,9,5,0,,
L.A. Noire,10,5,1,,
Luigi's Mansion,8,4,1,,
Luigi's Mansion 2 HD,7,5,0,,
Luigi's Mansion 3,9,5,0,,
Mega Man,9,5,1,,
Mega Man 2,9,5,1,,
Mega Man 3,9,5,1,,
Mega Man 4,10,5,1,,
Mega Man 5,10,5,1,,
Mega Man 6,9,5,1,,
Mega Man 7,7,5,1,,
Mega Man 8,6,5,1,,
Mega Man 9,10,5,1,,
Mega Man 10,10,5,1,,
Mega Man 11,10,5,1,,
Mega Man X,10,5,1,,
Mega Man X2,10,5,1,,
Mega Man X3,10,5,1,,
Mega Man X4,10,5,1,,
Mega Man X5,8,5,1,,
Mega Man X6,7,5,1,,
Mega Man X7,5,5,0,,
Mega Man X8,5,5,0,,
Mega Man Zero,8,5,0,,
Mega Man Zero 2,8,5,0,,
Mega Man Zero 3,8,5,0,,
Mega Man Zero 4,8,5,0,,
Mega Man ZX,10,5,0,,
Mega Man ZX Advent,10,5,0,,
Mega Man Legends,10,5,1,,
Mega Man Legends 2,10,5,1,,
Moonlighter,9,5,0,,
The World Ends with You,10,5,1,,
Octopath Traveler,8,5,0,,
Octopath Traveler II,8,5,0,,
Portal,9,5,1,,
Portal 2,10,5,1,,
Shovel Knight,9,5,1,,
Bastion,9,5,1,,
Transistor,9,5,1,,
Yooka-Replaylee,8,5,0,,
Costume Quest,8,5,0,,
Costume Quest 2,8,5,0,,
DuckTales Remastered,10,5,1,,
Evoland,7,5,1,,
Evoland 2,9,5,1,,
Papers Please,10,5,0,,
The Flame in the Flood,8,5,0,,
Cave Story+,8,5,0,,
Braid,7,5,0,,
Thomas Was Alone,8,5,0,,
Uncharted: Drake's Fortune,9,5,0,,
Uncharted 2: Among Thieves,9,5,0,,
Uncharted 3: Drake's Deception,9,5,0,,
The Last of Us,6,5,0,,
